date, aqi
2019/10/8, 64
2019/10/9, 58
2019/10/10, 61
2019/10/11, 66
2019/10/12, 65
2019/10/13, 64
2019/10/14, 71
2019/10/15, 68
2019/10/16, 67
2019/10/17, 72
2019/10/18, 60
2019/10/19, 59
2019/10/20, 55
2019/10/21, 58
2019/10/22, 57
2019/10/23, 55
2019/10/24, 62
2019/10/25, 63
2019/10/26, 63
2019/10/27, 60
2019/10/28, 52
2019/10/29, 52
2019/10/30, 59
2019/10/31, 61
2019/11/1, 54
2019/11/2, 56
2019/11/3, 59
2019/11/4, 56
2019/11/5, 60
2019/11/6, 61
2019/11/7, 66
2019/11/8, 63
2019/11/9, 57
2019/11/10, 56
2019/11/11, 58
2019/11/12, 59
2019/11/13, 64
2019/11/14, 68
2019/11/15, 62
2019/11/16, 58
2019/11/17, 54
2019/11/18, 58
2019/11/19, 63
2019/11/20, 65
2019/11/21, 62
2019/11/22, 59
2019/11/23, 56
2019/11/24, 56
2019/11/25, 54
2019/11/26, 53
2019/11/27, 53
2019/11/28, 56
2019/11/29, 53
2019/11/30, 54
2019/12/1, 53
2019/12/2, 41
2019/12/3, 42
2019/12/4, 46
2019/12/5, 54
2019/12/6, 60
2019/12/7, 56
2019/12/8, 50
2019/12/9, 49
2019/12/10, 54
2019/12/11, 52
2019/12/12, 52
2019/12/13, 56
2019/12/14, 57
2019/12/15, 56
2019/12/16, 56
2019/12/17, 60
2019/12/18, 59
2019/12/19, 59
2019/12/20, 59
2019/12/21, 59
2019/12/22, 59
2019/12/23, 59
2019/12/24, 59
2019/12/25, 59
2019/12/26, 59
2019/12/27, 59
2019/12/28, 59
2019/12/29, 59
2019/7/1, 61
2019/7/2, 62
2019/7/3, 64
2019/7/4, 68
2019/7/5, 68
2019/7/6, 65
2019/7/7, 58
2019/7/8, 56
2019/7/9, 54
2019/7/10, 55
2019/7/11, 59
2019/7/12, 61
2019/7/13, 62
2019/7/14, 62
2019/7/15, 61
2019/7/16, 59
2019/7/17, 61
2019/7/18, 63
2019/7/19, 59
2019/7/20, 59
2019/7/21, 63
2019/7/22, 61
2019/7/23, 58
2019/7/24, 59
2019/7/25, 62
2019/7/26, 64
2019/7/27, 67
2019/7/28, 71
2019/7/29, 70
2019/7/30, 69
2019/7/31, 73
2019/8/1, 81
2019/8/2, 74
2019/8/3, 74
2019/8/4, 72
2019/8/5, 71
2019/8/6, 73
2019/8/7, 77
2019/8/8, 81
2019/8/9, 81
2019/8/10, 79
2019/8/11, 80
2019/8/12, 69
2019/8/13, 63
