date, aqi
2018/10/15, 57
2018/10/16, 64
2018/10/17, 66
2018/10/18, 61
2018/10/19, 52
2018/10/20, 56
2018/10/21, 64
2018/10/22, 65
2018/10/23, 62
2018/10/24, 58
2018/10/25, 62
2018/10/26, 74
2018/10/27, 71
2018/10/28, 59
2018/10/29, 54
2018/10/30, 58
2018/10/31, 53
2018/11/1, 53
2018/11/2, 58
2018/11/3, 61
2018/11/4, 56
2018/11/5, 54
2018/11/6, 54
2018/11/7, 45
2018/11/8, 50
2018/11/9, 56
2018/11/10, 58
2018/11/11, 55
2018/11/12, 48
2018/11/13, 45
2018/11/14, 52
2018/11/15, 57
2018/11/16, 56
2018/11/17, 60
2018/11/18, 59
2018/11/19, 55
2018/11/20, 60
2018/11/21, 56
2018/11/22, 53
2018/11/23, 54
2018/11/24, 53
2018/11/25, 55
2018/11/26, 57
2018/11/27, 55
2018/11/28, 55
2018/11/29, 58
2018/11/30, 49
2018/12/1, 43
2018/12/2, 35
2018/12/3, 41
2018/12/4, 53
2018/12/5, 52
2018/12/6, 53
2018/12/7, 54
2018/12/8, 44
2018/12/9, 49
2018/12/10, 53
2018/12/11, 67
2018/12/12, 50
2018/12/13, 51
2018/12/14, 53
2018/12/15, 49
2018/12/16, 40
2018/12/17, 50
2018/12/18, 54
2018/12/19, 58
2018/12/20, 54
2018/12/21, 50
2018/12/22, 56
2018/12/23, 61
2018/12/24, 62
2018/12/25, 59
2018/12/26, 56
2018/12/27, 53
2018/12/28, 59
2018/12/29, 56
2018/12/30, 58
2018/7/1, 19
2018/7/2, 19
2018/7/3, 20
2018/7/4, 18
2018/7/5, 22
2018/7/6, 25
2018/7/7, 27
2018/7/8, 26
2018/7/9, 21
2018/7/10, 17
2018/7/11, 16
2018/7/12, 27
2018/7/13, 30
2018/7/14, 33
2018/7/15, 28
2018/7/16, 34
2018/7/17, 32
2018/7/18, 33
2018/7/19, 30
2018/7/20, 32
2018/7/21, 30
2018/7/22, 24
2018/7/23, 32
2018/7/24, 32
2018/7/25, 31
2018/7/26, 26
2018/7/27, 28
2018/7/28, 37
2018/7/29, 47
2018/7/30, 37
2018/7/31, 30
