date, aqi
2019/7/26, 63
2019/7/27, 68
2019/7/28, 70
2019/7/29, 70
2019/7/30, 70
2019/7/31, 75
2019/8/1, 83
2019/8/2, 73
2019/8/3, 75
2019/8/4, 72
2019/8/5, 74
2019/8/6, 74
2019/8/7, 80
2019/8/8, 82
2019/8/9, 81
2019/8/10, 77
2019/8/11, 77
2019/8/12, 68
2019/8/13, 64
2019/8/14, 73
2019/8/15, 73
2019/8/16, 62
2019/8/17, 77
2019/8/18, 81
2019/8/19, 72
2019/8/20, 83
2019/8/21, 82
2019/8/22, 72
2019/8/23, 82
2019/8/24, 75
2019/8/25, 71
2019/8/26, 69
2019/8/27, 69
2019/8/28, 65
2019/8/29, 58
2019/8/30, 61
2019/8/31, 59
2019/9/1, 67
2019/9/2, 75
2019/9/3, 82
2019/9/4, 81
2019/9/5, 83
2019/9/6, 99
2019/9/7, 98
2019/9/8, 95
2019/9/9, 107
2019/9/10, 148
2019/9/11, 143
2019/9/12, 140
2019/9/13, 157
2019/9/14, 152
2019/9/15, 91
2019/9/16, 152
2019/9/17, 155
2019/9/18, 188
2019/9/19, 158
2019/9/20, 155
2019/9/21, 148
2019/9/22, 158
2019/9/23, 146
2019/9/24, 102
2019/9/25, 79
2019/9/26, 61
2019/9/27, 65
2019/9/28, 69
2019/9/29, 60
2019/9/30, 54
2019/4/1, 
2019/4/2, 
2019/4/3, 
2019/4/4, 
2019/4/5, 
2019/4/6, 
2019/4/7, 
2019/4/8, 
2019/4/9, 
2019/4/10, 
2019/4/11, 
2019/4/12, 
2019/4/13, 
2019/4/14, 
2019/4/15, 
2019/4/16, 
2019/4/17, 
2019/4/18, 
2019/4/19, 
2019/4/20, 
2019/4/21, 
2019/4/22, 
2019/4/23, 
2019/4/24, 
2019/4/25, 
2019/4/26, 
2019/4/27, 
2019/4/28, 
2019/4/29, 
2019/4/30, 
2019/5/1, 
2019/5/2, 
2019/5/3, 
2019/5/4, 
2019/5/5, 
2019/5/6, 
2019/5/7, 
2019/5/8, 
2019/5/9, 
2019/5/10, 
2019/5/11, 
2019/5/12, 
2019/5/13, 
2019/5/14, 
2019/5/15, 
2019/5/16, 
2019/5/17, 
2019/5/18, 
2019/5/19, 
2019/5/20, 
2019/5/21, 
2019/5/22, 
2019/5/23, 
2019/5/24, 
2019/5/25, 
2019/5/26, 
2019/5/27, 
