date, aqi
2020/2/20, 64
2020/2/21, 56
2020/2/22, 40
2020/2/23, 34
2020/2/24, 47
2020/2/25, 53
2020/2/26, 55
2020/2/27, 58
2020/2/28, 56
2020/2/29, 59
2020/1/1, 57
2020/1/2, 57
2020/1/3, 57
2020/1/4, 57
2020/1/5, 57
2020/1/6, 57
2020/1/7, 57
2020/1/8, 57
2020/1/9, 57
2020/1/10, 57
2020/1/11, 57
2020/1/12, 57
2020/1/13, 57
2020/1/14, 57
2020/1/15, 57
2020/1/16, 58
2020/1/17, 57
2020/1/18, 62
2020/1/26, 63
2020/1/27, 59
2020/1/29, 57
2020/1/30, 51
2020/1/31, 53
2019/10/1, 64
2019/10/2, 73
2019/10/3, 82
2019/10/4, 80
2019/10/5, 67
2019/10/6, 65
2019/10/7, 69
2019/10/8, 66
2019/10/9, 61
2019/10/10, 62
2019/10/11, 67
2019/10/12, 68
2019/10/13, 66
2019/10/14, 70
2019/10/15, 69
2019/10/16, 69
2019/10/17, 71
2019/10/18, 59
2019/10/19, 57
2019/10/20, 54
2019/10/21, 57
2019/10/22, 54
2019/10/23, 53
2019/10/24, 57
2019/10/25, 60
2019/10/26, 62
2019/10/27, 60
2019/10/28, 43
2019/10/29, 53
2019/10/30, 58
2019/10/31, 60
2019/11/1, 50
2019/11/2, 55
2019/11/3, 57
2019/11/4, 58
2019/11/5, 60
2019/11/6, 61
2019/11/7, 69
2019/11/8, 63
2019/11/9, 54
2019/11/10, 57
2019/11/11, 57
2019/11/12, 58
2019/11/13, 62
2019/11/14, 67
2019/11/15, 62
2019/11/16, 59
2019/11/17, 55
2019/11/18, 60
2019/11/19, 64
2019/11/20, 64
2019/11/21, 64
2019/11/22, 60
2019/11/23, 54
2019/11/24, 55
2019/11/25, 54
2019/11/26, 54
2019/11/27, 50
2019/11/28, 56
2019/11/29, 53
2019/11/30, 54
2019/12/1, 56
2019/12/2, 46
2019/12/3, 49
2019/12/4, 46
2019/12/5, 57
2019/12/6, 60
2019/12/7, 55
2019/12/8, 52
2019/12/9, 51
2019/12/10, 54
2019/12/11, 51
2019/12/12, 52
2019/12/13, 56
2019/12/14, 57
2019/12/15, 54
2019/12/16, 55
2019/12/17, 59
2019/12/18, 57
2019/12/19, 57
2019/12/20, 57
2019/12/21, 57
2019/12/22, 57
2019/12/23, 57
2019/12/24, 57
2019/12/25, 57
2019/12/26, 57
2019/12/27, 57
2019/12/28, 57
2019/12/29, 57
2019/7/1, 61
2019/7/2, 60
2019/7/3, 64
2019/7/4, 68
2019/7/5, 67
2019/7/6, 65
2019/7/7, 57
2019/7/8, 53
2019/7/9, 54
2019/7/10, 56
2019/7/11, 60
2019/7/12, 60
2019/7/13, 63
2019/7/14, 68
2019/7/15, 63
2019/7/16, 60
2019/7/17, 63
2019/7/18, 63
2019/7/19, 59
2019/7/20, 57
2019/7/21, 61
2019/7/22, 64
2019/7/23, 60
2019/7/24, 57
2019/7/25, 61
2019/7/26, 64
2019/7/27, 65
2019/7/28, 69
2019/7/29, 65
2019/7/30, 67
2019/7/31, 72
2019/8/1, 83
2019/8/2, 74
2019/8/3, 77
2019/8/4, 72
2019/8/5, 72
2019/8/6, 75
2019/8/7, 79
2019/8/8, 79
2019/8/9, 80
2019/8/10, 80
2019/8/11, 88
2019/8/12, 73
2019/8/13, 64
2019/8/14, 68
2019/8/15, 70
2019/8/16, 64
2019/8/17, 79
2019/8/18, 84
2019/8/19, 72
2019/8/20, 80
2019/8/21, 79
2019/8/22, 70
2019/8/23, 79
2019/8/24, 74
2019/8/25, 69
2019/8/26, 64
2019/8/27, 67
2019/8/28, 64
2019/8/29, 59
2019/8/30, 63
2019/8/31, 60
2019/9/1, 67
2019/9/2, 77
2019/9/3, 80
2019/9/4, 80
2019/9/5, 77
2019/9/6, 93
2019/9/7, 93
2019/9/8, 93
2019/9/9, 98
2019/9/10, 125
2019/9/11, 143
2019/9/12, 132
2019/9/13, 141
2019/9/14, 140
2019/9/15, 79
2019/9/16, 157
2019/9/17, 173
2019/9/18, 213
2019/9/19, 154
2019/9/20, 131
2019/9/21, 119
2019/9/22, 146
2019/9/23, 159
2019/9/24, 104
2019/9/25, 82
2019/9/26, 64
2019/9/27, 67
2019/9/28, 74
2019/9/29, 67
2019/9/30, 59
2019/4/1, 
2019/4/2, 
2019/4/3, 
2019/4/4, 
2019/4/5, 
2019/4/6, 
2019/4/7, 
2019/4/8, 
2019/4/9, 
2019/4/10, 
2019/4/11, 
2019/4/12, 
2019/4/13, 
2019/4/14, 
2019/4/15, 
2019/4/16, 
2019/4/17, 
2019/4/18, 
2019/4/19, 
2019/4/20, 
2019/4/21, 
2019/4/22, 
2019/4/23, 
2019/4/24, 
2019/4/25, 
2019/4/26, 
2019/4/27, 
2019/4/28, 
2019/4/29, 
2019/4/30, 
2019/5/1, 
2019/5/2, 
2019/5/3, 
2019/5/4, 
2019/5/5, 
2019/5/6, 
2019/5/7, 
2019/5/8, 
2019/5/9, 
2019/5/10, 
2019/5/11, 
2019/5/12, 
2019/5/13, 
2019/5/14, 
2019/5/15, 
2019/5/16, 
2019/5/17, 
2019/5/18, 
2019/5/19, 
2019/5/20, 
2019/5/21, 
2019/5/22, 
2019/5/23, 
2019/5/24, 
2019/5/25, 
2019/5/26, 
2019/5/27, 
2019/5/28, 
2019/5/29, 
2019/5/30, 
2019/5/31, 
2019/6/1, 
2019/6/2, 
2019/6/3, 
2019/6/4, 
2019/6/5, 
2019/6/6, 
2019/6/7, 
2019/6/8, 
2019/6/9, 
2019/6/10, 
2019/6/11, 
2019/6/12, 
2019/6/13, 
2019/6/14, 
2019/6/15, 
2019/6/16, 
2019/6/17, 
2019/6/18, 
2019/6/19, 
2019/6/20, 
2019/6/21, 
2019/6/22, 
2019/6/23, 
2019/6/24, 
2019/6/25, 
2019/6/26, 
2019/6/27, 
2019/6/28, 39
2019/6/29, 67
2019/6/30, 63
2019/1/1, 
2019/1/2, 
2019/1/3, 
2019/1/4, 
2019/1/5, 
2019/1/6, 
2019/1/7, 
2019/1/8, 
2019/1/9, 
2019/1/10, 
2019/1/11, 
2019/1/12, 
2019/1/13, 
2019/1/14, 
2019/1/15, 
2019/1/16, 
2019/1/17, 
2019/1/18, 
2019/1/19, 
2019/1/20, 
2019/1/21, 
2019/1/22, 
2019/1/23, 
2019/1/24, 
2019/1/25, 
2019/1/26, 
2019/1/27, 
2019/1/28, 
2019/1/29, 
2019/1/30, 
2019/1/31, 
2019/2/1, 
2019/2/2, 
2019/2/3, 
2019/2/4, 
2019/2/5, 
2019/2/6, 
2019/2/7, 
2019/2/8, 
2019/2/9, 
2019/2/10, 
2019/2/11, 
2019/2/12, 
2019/2/13, 
2019/2/14, 
2019/2/15, 
2019/2/16, 
2019/2/17, 
2019/2/18, 
2019/2/19, 
2019/2/20, 
2019/2/21, 
2019/2/22, 
2019/2/23, 
2019/2/24, 
2019/2/25, 
2019/2/26, 
