date, aqi
2019/2/7, 
2019/2/8, 
2019/2/9, 
2019/2/10, 
2019/2/11, 
2019/2/12, 
2019/2/13, 
2019/2/14, 
2019/2/15, 
2019/2/16, 
2019/2/17, 
2019/2/18, 
2019/2/19, 
2019/2/20, 
2019/2/21, 
2019/2/22, 
2019/2/23, 
2019/2/24, 
2019/2/25, 
2019/2/26, 
2019/2/27, 
2019/2/28, 
2019/3/1, 
2019/3/2, 
2019/3/3, 
2019/3/4, 
2019/3/5, 
2019/3/6, 
2019/3/7, 
2019/3/8, 
2019/3/9, 
2019/3/10, 
2019/3/11, 
2019/3/12, 
2019/3/13, 
2019/3/14, 
2019/3/15, 
2019/3/16, 
2019/3/17, 
2019/3/18, 
2019/3/19, 
2019/3/20, 
2019/3/21, 
2019/3/22, 
2019/3/23, 
2019/3/24, 
2019/3/25, 
2019/3/26, 
2019/3/27, 
2019/3/28, 
2019/3/29, 
2019/3/30, 
2019/3/31, 
2018/10/1, 81
2018/10/2, 82
2018/10/3, 75
2018/10/4, 78
2018/10/5, 78
2018/10/6, 72
2018/10/7, 65
2018/10/8, 62
2018/10/9, 59
2018/10/10, 61
2018/10/11, 60
2018/10/12, 57
2018/10/13, 67
2018/10/14, 57
2018/10/15, 54
2018/10/16, 67
2018/10/17, 60
2018/10/18, 55
2018/10/19, 55
2018/10/20, 58
2018/10/21, 63
2018/10/22, 59
2018/10/23, 66
2018/10/24, 62
2018/10/25, 62
2018/10/26, 62
2018/10/27, 57
2018/10/28, 55
2018/10/29, 60
2018/10/30, 62
2018/10/31, 56
2018/11/1, 58
2018/11/2, 63
2018/11/3, 58
2018/11/4, 55
2018/11/5, 55
2018/11/6, 64
2018/11/7, 57
2018/11/8, 63
2018/11/9, 56
2018/11/10, 60
2018/11/11, 58
2018/11/12, 60
2018/11/13, 62
2018/11/14, 63
2018/11/15, 57
2018/11/16, 58
2018/11/17, 62
2018/11/18, 69
2018/11/19, 60
2018/11/20, 58
2018/11/21, 56
2018/11/22, 55
2018/11/23, 65
2018/11/24, 63
2018/11/25, 64
2018/11/26, 64
2018/11/27, 62
2018/11/28, 70
2018/11/29, 63
2018/11/30, 56
2018/12/1, 53
2018/12/2, 55
2018/12/3, 55
2018/12/4, 57
2018/12/5, 54
2018/12/6, 57
2018/12/7, 56
2018/12/8, 58
2018/12/9, 60
2018/12/10, 61
2018/12/11, 64
2018/12/12, 49
2018/12/13, 42
2018/12/14, 46
2018/12/15, 58
2018/12/16, 61
2018/12/17, 57
2018/12/18, 45
2018/12/19, 52
2018/12/20, 63
2018/12/21, 69
2018/12/22, 61
2018/12/23, 60
2018/12/24, 58
2018/12/25, 61
2018/12/26, 57
2018/12/27, 56
2018/12/28, 58
2018/12/29, 60
2018/12/30, 63
2018/7/1, 19
2018/7/2, 17
2018/7/3, 30
2018/7/4, 31
2018/7/5, 33
2018/7/6, 31
2018/7/7, 32
2018/7/8, 32
2018/7/9, 25
2018/7/10, 23
2018/7/11, 25
2018/7/12, 29
2018/7/13, 31
2018/7/14, 40
2018/7/15, 41
2018/7/16, 34
2018/7/17, 39
2018/7/18, 43
2018/7/19, 33
2018/7/20, 21
2018/7/21, 24
2018/7/22, 25
2018/7/23, 25
2018/7/24, 36
2018/7/25, 28
2018/7/26, 23
2018/7/27, 28
2018/7/28, 30
2018/7/29, 24
2018/7/30, 16
2018/7/31, 16
2018/8/1, 19
2018/8/2, 24
2018/8/3, 27
2018/8/4, 27
2018/8/5, 49
2018/8/6, 47
2018/8/7, 47
2018/8/8, 45
2018/8/9, 52
2018/8/10, 53
2018/8/11, 50
2018/8/12, 46
2018/8/13, 54
2018/8/14, 55
2018/8/15, 52
2018/8/16, 70
2018/8/17, 90
2018/8/18, 79
2018/8/19, 70
2018/8/20, 68
2018/8/21, 70
2018/8/22, 72
2018/8/23, 60
2018/8/24, 67
2018/8/25, 71
2018/8/26, 80
2018/8/27, 76
2018/8/28, 75
2018/8/29, 69
